location_id,zipcode,latitude,longitude,size,total_slots,under5_slots,build_cost,equip_cost,total_cost
12432,11237.0,40.69996626401131,-73.91156505914704,L,400,200,115000,20000,135000
12434,11237.0,40.692325598693955,-73.92515044008123,L,400,200,115000,20000,135000
12442,11237.0,40.6917740868963,-73.92709764320084,L,400,200,115000,20000,135000
12445,11237.0,40.69127345318242,-73.92033052222712,L,400,200,115000,20000,135000
12453,11237.0,40.704782948796975,-73.92319324630537,L,400,200,115000,20000,135000
12487,11237.0,40.69925770195322,-73.918799273213,L,400,200,115000,20000,135000
12522,11238.0,40.67937569558315,-73.97365881727121,L,400,200,115000,20000,135000
12523,11238.0,40.68129525805997,-73.96542291033191,L,400,200,115000,20000,135000
12536,11238.0,40.676379017379205,-73.96406263154155,L,400,200,115000,20000,135000
12542,11238.0,40.67144290285152,-73.96430016294651,L,400,200,115000,20000,135000
12544,11238.0,40.66911431535678,-73.96321815420245,L,400,200,115000,20000,135000
12561,11238.0,40.670502844016255,-73.96434711553002,L,400,200,115000,20000,135000
12563,11238.0,40.68261798664843,-73.95668123027728,L,400,200,115000,20000,135000
12564,11238.0,40.68605208278318,-73.96891164712973,L,400,200,115000,20000,135000
12569,11238.0,40.68685811160917,-73.95479703117404,L,400,200,115000,20000,135000
12570,11238.0,40.67312013276616,-73.96199157463299,L,400,200,115000,20000,135000
12585,11238.0,40.687436032396434,-73.95825760725334,L,400,200,115000,20000,135000
12588,11238.0,40.677751185740824,-73.97350361064507,L,400,200,115000,20000,135000
12590,11238.0,40.68598105132733,-73.96064828336546,L,400,200,115000,20000,135000
12597,11238.0,40.66945690286336,-73.95514595661828,L,400,200,115000,20000,135000
12680,11239.0,40.64304916325789,-73.89011341169513,L,400,200,115000,20000,135000
12705,11249.0,40.65273253324033,-73.95007786208161,L,400,200,115000,20000,135000
12707,11249.0,40.64592874237841,-73.95015542617837,L,400,200,115000,20000,135000
12721,11249.0,40.64593860228245,-73.94329415668481,L,400,200,115000,20000,135000
12732,11249.0,40.654803740135485,-73.94938734807698,L,400,200,115000,20000,135000
12739,11249.0,40.64756161699183,-73.95261413004258,L,400,200,115000,20000,135000
12740,11249.0,40.63561676596521,-73.9408989201732,L,400,200,115000,20000,135000
12745,11249.0,40.64163893200861,-73.93709958179035,L,400,200,115000,20000,135000
12747,11249.0,40.65204686277348,-73.94308163249406,L,400,200,115000,20000,135000
12756,11249.0,40.65499132715296,-73.951862752348,L,400,200,115000,20000,135000
12757,11249.0,40.6427498687109,-73.95411659347452,L,400,200,115000,20000,135000
12760,11249.0,40.63694728655221,-73.95482251544928,L,400,200,115000,20000,135000
12772,11249.0,40.64577033231827,-73.94676535691076,L,400,200,115000,20000,135000
12784,11249.0,40.637243500385374,-73.94839508820333,L,400,200,115000,20000,135000
12789,11249.0,40.65033012028106,-73.95108023623436,L,400,200,115000,20000,135000
12795,11249.0,40.64558263361731,-73.9520806992198,M,200,100,95000,10000,105000
12796,11249.0,40.63583960916152,-73.95459912058763,L,400,200,115000,20000,135000
12829,11354.0,40.76440471354472,-73.82480538602742,L,400,200,115000,20000,135000
12846,11354.0,40.76440064230485,-73.81618536684239,L,400,200,115000,20000,135000
12848,11354.0,40.77420963168562,-73.83237662885479,L,400,200,115000,20000,135000
12849,11354.0,40.76441521565617,-73.81899874047402,L,400,200,115000,20000,135000
12850,11354.0,40.76151785297201,-73.81878090550504,L,400,200,115000,20000,135000
12853,11354.0,40.759075966215505,-73.8263321525106,L,400,200,115000,20000,135000
12863,11354.0,40.75876389160339,-73.81565657982674,L,400,200,115000,20000,135000
12866,11354.0,40.773510410686875,-73.82367820079482,L,400,200,115000,20000,135000
12900,11355.0,40.76252406982632,-73.83119622575258,L,400,200,115000,20000,135000
12905,11355.0,40.76268436620689,-73.82839968438226,L,400,200,115000,20000,135000
12907,11355.0,40.75028390912062,-73.81522752609294,L,400,200,115000,20000,135000
12909,11355.0,40.74757253558208,-73.821312708901,L,400,200,115000,20000,135000
12915,11355.0,40.75979708663116,-73.83045759313407,L,400,200,115000,20000,135000
12922,11355.0,40.755089125279454,-73.82313579477912,L,400,200,115000,20000,135000
12923,11355.0,40.75909415899602,-73.82739265272897,L,400,200,115000,20000,135000
12938,11355.0,40.75839798289973,-73.82035159548003,L,400,200,115000,20000,135000
12958,11355.0,40.75295381484972,-73.82219067270017,L,400,200,115000,20000,135000
12964,11355.0,40.75944714235968,-73.8260454001613,L,400,200,115000,20000,135000
12990,11355.0,40.752469297883785,-73.81947092635014,L,400,200,115000,20000,135000
12991,11355.0,40.74493139141686,-73.82716587442964,L,400,200,115000,20000,135000
13002,11356.0,40.77617367963557,-73.83550543451604,L,400,200,115000,20000,135000
13007,11356.0,40.7786589656554,-73.85316756786607,L,400,200,115000,20000,135000
13016,11356.0,40.79238785118679,-73.83710278164503,L,400,200,115000,20000,135000
13018,11356.0,40.78347004980216,-73.84101001657153,L,400,200,115000,20000,135000
13021,11356.0,40.78119111527603,-73.84141598981776,L,400,200,115000,20000,135000
13086,11356.0,40.78813532931252,-73.84858607508606,L,400,200,115000,20000,135000
13100,11357.0,40.78541629664664,-73.80059422180926,L,400,200,115000,20000,135000
13112,11357.0,40.78757502493949,-73.8040405164648,L,400,200,115000,20000,135000
13148,11357.0,40.77629983202819,-73.8174081562571,L,400,200,115000,20000,135000
13152,11357.0,40.793688519127606,-73.81901463699661,L,400,200,115000,20000,135000
13165,11357.0,40.79279973619538,-73.80608290860012,L,400,200,115000,20000,135000
13168,11357.0,40.79060170102574,-73.81611132421527,L,400,200,115000,20000,135000
13184,11357.0,40.78348140614433,-73.8115231227501,L,400,200,115000,20000,135000
13217,11358.0,40.76857928938432,-73.7894422289009,L,400,200,115000,20000,135000
13226,11358.0,40.76971495524301,-73.78902235744408,L,400,200,115000,20000,135000
13232,11358.0,40.770236545100104,-73.80304393655636,L,400,200,115000,20000,135000
13233,11358.0,40.763864568055354,-73.79331689025031,L,400,200,115000,20000,135000
13247,11358.0,40.761370724868776,-73.7943461155652,L,400,200,115000,20000,135000
13269,11358.0,40.75167906417993,-73.7971048198967,L,400,200,115000,20000,135000
13343,11360.0,40.78053978389767,-73.78880426470795,L,400,200,115000,20000,135000
13355,11360.0,40.783869650224986,-73.77207110247159,L,400,200,115000,20000,135000
13389,11360.0,40.777722055297545,-73.77339863995574,L,400,200,115000,20000,135000
13406,11361.0,40.75663396894921,-73.77788870285154,L,400,200,115000,20000,135000
13412,11361.0,40.77015825344109,-73.77547327089897,L,400,200,115000,20000,135000
13420,11361.0,40.75837540098531,-73.76544003752204,L,400,200,115000,20000,135000
13424,11361.0,40.77213945285285,-73.7743535721773,L,400,200,115000,20000,135000
13484,11361.0,40.76597162074941,-73.77099648800615,L,400,200,115000,20000,135000
13514,11362.0,40.75269012622396,-73.73581511081684,L,400,200,115000,20000,135000
13563,11362.0,40.759160834462165,-73.7268302077049,L,400,200,115000,20000,135000
13672,11363.0,40.76559348235091,-73.75222773585566,L,400,200,115000,20000,135000
13704,11364.0,40.746527679061266,-73.75460199271845,L,400,200,115000,20000,135000
13705,11364.0,40.74526597467445,-73.76419346182048,L,400,200,115000,20000,135000
13753,11364.0,40.739082799014966,-73.75407126968675,L,400,200,115000,20000,135000
