zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
11249,OPTIMAL,2067993.2039,34293.2,8700.0,1725000.0,300000.0,87.0,87.0,0,0,15,6000.0,3000.0,4491,3087,True,True,9610,4774,315,96,4806,3183,4491,3087
11354,OPTIMAL,754215.7385,368815.74,115400.0,230000.0,40000.0,1154.0,1154.0,0,0,2,800.0,400.0,1372,1554,True,True,5249,2484,1253,102,2625,1656,1372,1554
11355,OPTIMAL,978259.8649,739359.86,238900.0,0.0,0.0,2389.0,2389.0,0,0,0,0.0,0.0,1067,2389,True,True,9038,3814,3453,154,4520,2543,1067,2389
11356,OPTIMAL,694298.5104,112698.51,41600.0,460000.0,80000.0,416.0,416.0,0,0,4,1600.0,800.0,1272,1216,True,True,4307,2049,882,150,2154,1366,1272,1216
11357,OPTIMAL,709686.8852,340686.89,99000.0,230000.0,40000.0,990.0,990.0,0,0,2,800.0,400.0,898,1390,False,True,5953,2193,1087,72,1985,1462,898,1390
11358,OPTIMAL,716969.547,135269.55,41700.0,460000.0,80000.0,417.0,417.0,0,0,4,1600.0,800.0,1747,1217,True,True,4850,2023,679,132,2426,1349,1747,1217
11360,OPTIMAL,324413.2616,39513.26,14900.0,230000.0,40000.0,149.0,149.0,0,0,2,800.0,400.0,135,549,False,True,1858,859,485,24,620,573,135,549
11361,OPTIMAL,456069.5901,240569.59,80500.0,115000.0,20000.0,805.0,805.0,0,0,1,400.0,200.0,0,1005,False,False,3899,1723,1501,144,1300,1149,0,1005
11362,OPTIMAL,207533.3333,170533.33,37000.0,0.0,0.0,370.0,370.0,0,0,0,0.0,0.0,248,370,False,True,1789,626,349,48,597,418,248,370
11363,OPTIMAL,66021.9178,51221.92,14800.0,0.0,0.0,152.0,148.0,0,0,0,0.0,0.0,152,148,False,True,1131,334,226,75,378,223,152,148
11364,OPTIMAL,529352.381,408552.38,120800.0,0.0,0.0,1208.0,1208.0,0,0,0,0.0,0.0,470,1208,False,True,5398,1901,1330,60,1800,1268,470,1208
11365,OPTIMAL,1028016.3106,160616.31,57400.0,690000.0,120000.0,574.0,574.0,0,0,6,2400.0,1200.0,2106,1774,True,True,6822,2904,1306,162,3412,1936,2106,1774
11366,OPTIMAL,213317.7936,57217.79,21100.0,115000.0,20000.0,211.0,211.0,0,0,1,400.0,200.0,15,411,False,True,1803,832,587,144,602,555,15,411
11367,OPTIMAL,952768.8175,414068.82,133700.0,345000.0,60000.0,1337.0,1337.0,0,0,3,1200.0,600.0,1750,1937,True,True,7908,3814,2205,606,3955,2543,1750,1937
11368,OPTIMAL,2545641.8544,804541.85,256100.0,1265000.0,220000.0,2561.0,2561.0,0,0,11,4400.0,2200.0,6564,4761,True,True,19240,7894,3057,502,9621,5263,6564,4761
11369,OPTIMAL,200200.0,49200.0,16000.0,115000.0,20000.0,164.0,160.0,0,0,1,400.0,200.0,564,360,True,True,4014,1428,1444,592,2008,952,564,360
11370,OPTIMAL,510000.0,0.0,0.0,440000.0,70000.0,0.0,0.0,0,1,3,1400.0,700.0,1344,679,True,True,3150,1279,232,174,1576,853,1344,679
